SAP_MAT_NUM	MAT_TYPE	INDT_SECT	DESC	BASE_UOM	MATL_GRP	DIVISION	GEN_ITEM_CAT_GRP	WGT_UOM	WGT_GRS	WGT_NET	PURCH_VAL_KEY	TRP_GRP	STO_COND
000000000010000000	FERT	M	021-002 BRONZ ANOD 6063T5 3607	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000001	FERT	M	021-002 CLEAR ANOD 6063T5 4775	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000002	FERT	M	021-002 D.BNE WHITE 6063T5 3912	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000003	FERT	M	021-002 D.BNE WHITE 6063T5 4775	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000004	FERT	M	021-002 MILL FINISH 6063T5 3000	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000005	FERT	M	021-002 MILL FINISH 6063T5 3607	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000006	FERT	M	021-002 D.STT BROWN 6063T5 3607	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000007	FERT	M	021-003 BRONZ ANOD 6063T5 3302	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000008	FERT	M	021-003 D.BNE WHITE 6063T5 3124	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000009	FERT	M	021-003 D.BNE WHITE 6063T5 3632	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000010	FERT	M	021-003 D.BNE WHITE 6063T5 4039	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000011	FERT	M	021-003 D.BNE WHITE 6063T5 4089	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000012	FERT	M	021-003 MILL FINISH 6063T5 3302	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000013	FERT	M	021-003 MILL FINISH 6063T5 4089	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000014	FERT	M	021-003 D.STT BROWN 6063T5 3302	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000015	FERT	M	021-005 BRONZ ANOD 6063T5 4191	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000016	FERT	M	021-005 CLEAR ANOD 6063T5 4750	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000017	FERT	M	021-005 D.BNE WHITE 6063T5 3861	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000018	FERT	M	021-005 D.BNE WHITE 6063T5 4750	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000019	FERT	M	021-005 D.BNE WHITE 6063T5 4877	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000020	FERT	M	021-005 D.BNE WHITE 6063T5 4953	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000021	FERT	M	021-005 D.BNE WHITE 6063T5 4978	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000022	FERT	M	021-005 D.STT BROWN 6063T5 4191	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000023	FERT	M	021-011 BRONZ ANOD 6063T5 3251	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000024	FERT	M	021-011 D.BNE WHITE 6063T5 3327	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000025	FERT	M	021-011 D.BNE WHITE 6063T5 3556	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000026	FERT	M	021-011 D.BNE WHITE 6063T5 4038	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000027	FERT	M	021-011 D.BNE WHITE 6063T5 4801	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000028	FERT	M	021-011 D.STT BROWN 6063T5 3251	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000029	FERT	M	021-029 BRONZ ANOD 6063T5 3607	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000030	FERT	M	021-029 CLEAR ANOD 6063T5 4775	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000031	FERT	M	021-029 D.BNE WHITE 6063T5 3912	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000032	FERT	M	021-029 D.BNE WHITE 6063T5 4775	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000033	FERT	M	021-029 MILL FINISH 6063T5 3607	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000034	FERT	M	021-029 D.STT BROWN 6063T5 3607	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000035	FERT	M	021-060 D.BNE WHITE 6063T5 3048	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000036	FERT	M	021-060 D.BNE WHITE 6063T5 3556	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000037	FERT	M	021-060 MILL FINISH 6063T5 3658	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000038	FERT	M	021-061 D.BNE WHITE 6063T5 3378	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000039	FERT	M	021-061 D.BNE WHITE 6063T5 3581	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000040	FERT	M	021-062 D.BNE WHITE 6063T5 3200	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000041	FERT	M	021-062 D.BNE WHITE 6063T5 3810	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000042	FERT	M	021-062 D.BNE WHITE 6063T5 4750	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000043	FERT	M	021-062 MILL FINISH 6063T5 4750	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000044	FERT	M	021-064 D.BNE WHITE 6063T5 3658	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000045	FERT	M	021-064 D.BNE WHITE 6063T5 3759	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000046	FERT	M	021-064 MILL FINISH 6063T5 4877	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000047	FERT	M	021-072 MILL FINISH 6063T5 3607	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000048	FERT	M	021-079 MILL FINISH 6063T5 3607	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000049	FERT	M	021-080 P.ESP WHITE 6063T5 4674	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000050	FERT	M	021-081 P.ESP WHITE 6063T5 4674	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000051	FERT	M	021-086 P.ESP WHITE 6063T5 4597	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000052	FERT	M	021-086 P.ESP WHITE 6063T5 4623	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000053	FERT	M	021-087 P.ESP WHITE 6063T5 4750	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000054	FERT	M	022-004 BRONZ ANOD 6063T5 3226	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000055	FERT	M	022-004 CLEAR ANOD 6063T5 4242	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000056	FERT	M	022-004 D.BNE WHITE 6063T5 3327	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000057	FERT	M	022-004 D.BNE WHITE 6063T5 3454	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000058	FERT	M	022-004 D.BNE WHITE 6063T5 3607	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000059	FERT	M	022-004 D.BNE WHITE 6063T5 4242	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000060	FERT	M	022-004 MILL FINISH 6063T5 3226	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000061	FERT	M	022-004 MILL FINISH 6063T5 4242	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000062	FERT	M	022-004 D.STT BROWN 6063T5 3226	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000063	FERT	M	022-007 BRONZ ANOD 6063T5 3277	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000064	FERT	M	022-007 D.BNE WHITE 6063T5 3378	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000065	FERT	M	022-007 D.BNE WHITE 6063T5 3531	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000066	FERT	M	022-007 D.BNE WHITE 6063T5 3912	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000067	FERT	M	022-007 D.BNE WHITE 6063T5 4318	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000068	FERT	M	022-007 MILL FINISH 6063T5 3277	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000069	FERT	M	022-007 MILL FINISH 6063T5 4318	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000070	FERT	M	022-007 D.STT BROWN 6063T5 3277	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000071	FERT	M	022-038 MILL FINISH 6063T5 3658	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000072	FERT	M	022-046 D.BNE WHITE 6063T5 3581	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000073	FERT	M	022-046 D.BNE WHITE 6063T5 3607	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000074	FERT	M	022-066 BRONZ ANOD 6063T5 3226	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000075	FERT	M	022-066 CLEAR ANOD 6063T5 4242	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000076	FERT	M	022-066 D.BNE WHITE 6063T5 3327	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000077	FERT	M	022-066 D.BNE WHITE 6063T5 3454	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000078	FERT	M	022-066 D.BNE WHITE 6063T5 3607	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000079	FERT	M	022-066 D.BNE WHITE 6063T5 4242	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000080	FERT	M	022-066 MILL FINISH 6063T5 3226	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000081	FERT	M	022-066 MILL FINISH 6063T5 4242	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000082	FERT	M	022-066 D.STT BROWN 6063T5 3226	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000083	FERT	M	022-069 P.ESP WHITE 6063T5 3480	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000084	FERT	M	022-070 D.BNE WHITE 6063T5 4623	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000085	FERT	M	022-070 D.BNE WHITE 6063T5 6147	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000086	FERT	M	022-071 BRONZ ANOD 6063T5 4394	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000087	FERT	M	022-071 D.BNE WHITE 6063T5 4953	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000088	FERT	M	022-071 D.STT BROWN 6063T5 4394	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000089	FERT	M	022-073 CLEAR ANOD 6063T5 7315	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000090	FERT	M	022-073 MILL FINISH 6063T5 5029	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000091	FERT	M	022-077 D.BNE WHITE 6063T5 5029	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000092	FERT	M	022-077 D.BNE WHITE 6063T5 5055	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000093	FERT	M	050M-040 DS A.SILVER 6063T5 4699	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000094	FERT	M	050M-040 DS A.SILVER 6063T5 5969	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000095	FERT	M	050M-040 DS A.SILVER 6063T5 6100	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000096	FERT	M	050M-040 P.ESP WHITE 6063T5 6096	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000097	FERT	M	050M-040 CLEAR ANOD 6063T5 3841	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000098	FERT	M	050M-040 CLEAR ANOD 6063T5 4603	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000099	FERT	M	050M-040 DS A.SILVER 6063T6 3683	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000100	FERT	M	050M-040 DS A.SILVER 6063T6 4572	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000101	FERT	M	050M-040 DS A.SILVER 6063T6 4699	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000102	FERT	M	050M-040 DS A.SILVER 6063T6 4826	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000103	FERT	M	050M-040 DS A.SILVER 6063T6 5461	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000104	FERT	M	050M-040 DS A.SILVER 6063T6 5900	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000105	FERT	M	050M-040 DS A.SILVER 6063T6 5969	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000106	FERT	M	050M-040 DS A.SILVER 6063T6 6096	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000107	FERT	M	050M-040 P.ESP WHITE 6063T6 3683	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000108	FERT	M	050M-040 P.ESP WHITE 6063T6 4000	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000109	FERT	M	050M-040 P.ESP WHITE 6063T6 4648	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000110	FERT	M	050M-040 P.ESP WHITE 6063T6 4950	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000111	FERT	M	050M-040 P.ESP WHITE 6063T6 4953	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000112	FERT	M	050M-040 P.ESP WHITE 6063T6 5000	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000113	FERT	M	050M-040 P.ESP WHITE 6063T6 5207	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000114	FERT	M	050M-040 P.ESP WHITE 6063T6 5210	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000115	FERT	M	050M-040 P.ESP WHITE 6063T6 5588	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000116	FERT	M	050M-040 P.ESP WHITE 6063T6 6096	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000117	FERT	M	050M-040 P.ESP WHITE 6063T6 6100	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000118	FERT	M	050M-040 CLEAR ANOD 6063T6 3810	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000119	FERT	M	050M-040 CLEAR ANOD 6063T6 4826	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000120	FERT	M	050M-040 CLEAR ANOD 6063T6 5588	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000121	FERT	M	050M-040 CLEAR ANOD 6063T6 6096	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000122	FERT	M	050M-040 D.BNE WHITE 6063T6 5131	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000123	FERT	M	050M-040 D.BNE WHITE 6063T6 5940	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000124	FERT	M	050M-040 D.BNE WHITE 6063T6 5943	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000125	FERT	M	050M-040 D.BNE WHITE 6063T6 5944	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000126	FERT	M	050M-041 DS A.SILVER 6063T5 5588	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000127	FERT	M	050M-041 P.ESP WHITE 6063T5 5461	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000128	FERT	M	050M-041 P.ESP WHITE 6063T5 6096	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000129	FERT	M	050M-041 CLEAR ANOD 6063T5 5969	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000130	FERT	M	050M-041 D.BNE WHITE 6063T5 3962	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000131	FERT	M	050M-041 DS A.SILVER 6063T6 4699	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000132	FERT	M	050M-041 DS A.SILVER 6063T6 4700	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000133	FERT	M	050M-041 DS A.SILVER 6063T6 4826	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000134	FERT	M	050M-041 DS A.SILVER 6063T6 5080	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000135	FERT	M	050M-041 DS A.SILVER 6063T6 5334	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000136	FERT	M	050M-041 DS A.SILVER 6063T6 5969	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000137	FERT	M	050M-041 DS A.SILVER 6063T6 6096	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000138	FERT	M	050M-041 P.ESP WHITE 6063T6 4699	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000139	FERT	M	050M-041 P.ESP WHITE 6063T6 4724	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000140	FERT	M	050M-041 P.ESP WHITE 6063T6 5080	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000141	FERT	M	050M-041 P.ESP WHITE 6063T6 5461	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
000000000010000142	FERT	M	050M-041 P.ESP WHITE 6063T6 5537	KG	ZPT04	10	NORM	KG	01	01	Z02	0001	01
