MAT_NUM	OLD_MAT_REF	PLANT	AVAIL_CHK	VAL_CLASS	PRCTR
A00011001010305950	A00011001010305950	1100	Y2	E103	
A00011001010305950	A00011001010305950	1110	Y2	E103	
A00011001010305950	A00011001010305950	1010	Y2	E103	
A00012001010306800	A00012001010306800	1100	Y2	E103	
A00012001010306800	A00012001010306800	1110	Y2	E103	
A00012001010306800	A00012001010306800	1010	Y2	E103	
A00012001010307300	A00012001010307300	1100	Y2	E103	
A00012001010307300	A00012001010307300	1110	Y2	E103	
A00012001010307300	A00012001010307300	1010	Y2	E103	
A00013001010305950	A00013001010305950	1100	Y2	E103	
A00013001010305950	A00013001010305950	1110	Y2	E103	
A00013001010305950	A00013001010305950	1010	Y2	E103	
A00014001010305950	A00014001010305950	1100	Y2	E103	
A00014001010305950	A00014001010305950	1110	Y2	E103	
A00014001010305950	A00014001010305950	1010	Y2	E103	
A00015007010305800	A00015007010305800	1100	Y2	E103	
A00015007010305800	A00015007010305800	1110	Y2	E103	
A00015007010305800	A00015007010305800	1010	Y2	E103	
A00016001010305950	A00016001010305950	1100	Y2	E103	
A00016001010305950	A00016001010305950	1110	Y2	E103	
A00016001010305950	A00016001010305950	1010	Y2	E103	
A00017001010305950	A00017001010305950	1100	Y2	E103	
A00017001010305950	A00017001010305950	1110	Y2	E103	
A00017001010305950	A00017001010305950	1010	Y2	E103	
A00018001010305950	A00018001010305950	1100	Y2	E103	
A00018001010305950	A00018001010305950	1110	Y2	E103	
A00018001010305950	A00018001010305950	1010	Y2	E103	
A00019001010305950	A00019001010305950	1100	Y2	E103	
A00019001010305950	A00019001010305950	1110	Y2	E103	
A00019001010305950	A00019001010305950	1010	Y2	E103	
A00020001010305800	A00020001010305800	1100	Y2	E103	
A00020001010305800	A00020001010305800	1110	Y2	E103	
A00020001010305800	A00020001010305800	1010	Y2	E103	
A00021001010305800	A00021001010305800	1100	Y2	E103	
A00021001010305800	A00021001010305800	1110	Y2	E103	
A00021001010305800	A00021001010305800	1010	Y2	E103	
A00022001010305950	A00022001010305950	1100	Y2	E103	
A00022001010305950	A00022001010305950	1110	Y2	E103	
A00022001010305950	A00022001010305950	1010	Y2	E103	
A00023001010305950	A00023001010305950	1100	Y2	E103	
A00023001010305950	A00023001010305950	1110	Y2	E103	
A00023001010305950	A00023001010305950	1010	Y2	E103	
A00024001010305950	A00024001010305950	1100	Y2	E103	
A00024001010305950	A00024001010305950	1110	Y2	E103	
A00024001010305950	A00024001010305950	1010	Y2	E103	
A00005005010306000	A00005005010306000	1100	Y2	E103	
A00005005010306000	A00005005010306000	1110	Y2	E103	
A00005005010306000	A00005005010306000	1010	Y2	E103	
A00004005010306000	A00004005010306000	1100	Y2	E103	
A00004005010306000	A00004005010306000	1110	Y2	E103	
A00004005010306000	A00004005010306000	1010	Y2	E103	
A00006005010306000	A00006005010306000	1100	Y2	E103	
A00006005010306000	A00006005010306000	1110	Y2	E103	
A00006005010306000	A00006005010306000	1010	Y2	E103	
A00007006010306000	A00007006010306000	1100	Y2	E103	
A00007006010306000	A00007006010306000	1110	Y2	E103	
A00007006010306000	A00007006010306000	1010	Y2	E103	
A00007005010306000	A00007005010306000	1100	Y2	E103	
A00007005010306000	A00007005010306000	1110	Y2	E103	
A00007005010306000	A00007005010306000	1010	Y2	E103	
A00008005010306000	A00008005010306000	1100	Y2	E103	
A00008005010306000	A00008005010306000	1110	Y2	E103	
A00008005010306000	A00008005010306000	1010	Y2	E103	
A00001003030203000	A00001003030203000	1100	Y2	E103	
A00001003030203000	A00001003030203000	1110	Y2	E103	
A00001003030203000	A00001003030203000	1010	Y2	E103	
A00001001010305300	A00001001010305300	1100	Y2	E103	
A00001001010305300	A00001001010305300	1110	Y2	E103	
A00001001010305300	A00001001010305300	1010	Y2	E103	
A00001001010305500	A00001001010305500	1100	Y2	E103	
A00001001010305500	A00001001010305500	1110	Y2	E103	
A00001001010305500	A00001001010305500	1010	Y2	E103	
A00009007010306000	A00009007010306000	1100	Y2	E103	
A00009007010306000	A00009007010306000	1110	Y2	E103	
A00009007010306000	A00009007010306000	1010	Y2	E103	
A00009006010306000	A00009006010306000	1100	Y2	E103	
A00009006010306000	A00009006010306000	1110	Y2	E103	
A00009006010306000	A00009006010306000	1010	Y2	E103	
A00009005010306000	A00009005010306000	1100	Y2	E103	
A00009005010306000	A00009005010306000	1110	Y2	E103	
A00009005010306000	A00009005010306000	1010	Y2	E103	
A00010005010306000	A00010005010306000	1100	Y2	E103	
A00010005010306000	A00010005010306000	1110	Y2	E103	
A00010005010306000	A00010005010306000	1010	Y2	E103	
